,Daily Generation,Energy (GWh),Percentage (%),date
0,Laxapana Hydro Complex,2.94,8.22,2/27/2023
1,Mahaweli Hydro Complex,4.64,12.96,2/27/2023
2,Samanala Hydro Complex,0.4,1.13,2/27/2023
3,CEB Thermal Coal,18.7,52.22,2/27/2023
4,CEB Thermal Oil,2.6,7.26,2/27/2023
5,IPP Thermal Oil,0.0,0.0,2/27/2023
6,CEB Wind,0.96,2.68,2/27/2023
7,SPP Wind,0.98,2.73,2/27/2023
8,SPP Solar 1,2.17,6.05,2/27/2023
9,SPP Biomass,0.53,1.49,2/27/2023
10,SPP Minihydro 2,1.88,5.25,2/27/2023
11,Total,35.8,,2/27/2023
12,Laxapana Hydro Complex,3.99,9.35,2/28/2023
13,Mahaweli Hydro Complex,4.69,11.01,2/28/2023
14,Samanala Hydro Complex,0.71,1.66,2/28/2023
15,CEB Thermal Coal,19.52,45.77,2/28/2023
16,CEB Thermal Oil,3.71,8.69,2/28/2023
17,IPP Thermal Oil,4.46,10.46,2/28/2023
18,CEB Wind,0.77,1.8,2/28/2023
19,SPP Wind,0.81,1.9,2/28/2023
20,SPP Solar 1,2.0,4.7,2/28/2023
21,SPP Biomass,0.23,0.55,2/28/2023
22,SPP Minihydro 2,1.75,4.11,2/28/2023
23,Total,42.64,,2/28/2023
24,Laxapana Hydro Complex,3.58,8.16,3/1/2023
25,Mahaweli Hydro Complex,4.78,10.9,3/1/2023
26,Samanala Hydro Complex,0.78,1.78,3/1/2023
27,CEB Thermal Coal,19.33,44.08,3/1/2023
28,CEB Thermal Oil,3.31,7.54,3/1/2023
29,IPP Thermal Oil,5.99,13.66,3/1/2023
30,CEB Wind,0.9,2.05,3/1/2023
31,SPP Wind,1.05,2.4,3/1/2023
32,SPP Solar 1,1.95,4.45,3/1/2023
33,SPP Biomass,0.31,0.7,3/1/2023
34,SPP Minihydro 2,1.88,4.29,3/1/2023
35,Total,43.86,,3/1/2023
36,Laxapana Hydro Complex,3.29,7.52,3/2/2023
37,Mahaweli Hydro Complex,3.68,8.43,3/2/2023
38,Samanala Hydro Complex,0.96,2.19,3/2/2023
39,CEB Thermal Coal,19.49,44.61,3/2/2023
40,CEB Thermal Oil,4.56,10.42,3/2/2023
41,IPP Thermal Oil,5.41,12.38,3/2/2023
42,CEB Wind,0.99,2.26,3/2/2023
43,SPP Wind,1.16,2.66,3/2/2023
44,SPP Solar 1,1.98,4.54,3/2/2023
45,SPP Biomass,0.3,0.68,3/2/2023
46,SPP Minihydro 2,1.88,4.3,3/2/2023
47,Total,43.7,,3/2/2023
48,Laxapana Hydro Complex,3.48,8.12,3/4/2023
49,Mahaweli Hydro Complex,4.29,9.99,3/4/2023
50,Samanala Hydro Complex,0.61,1.42,3/4/2023
51,CEB Thermal Coal,19.51,45.44,3/4/2023
52,CEB Thermal Oil,7.3,17.0,3/4/2023
53,IPP Thermal Oil,2.43,5.67,3/4/2023
54,CEB Wind,0.92,2.14,3/4/2023
55,SPP Wind,0.83,1.94,3/4/2023
56,SPP Solar 1,2.03,4.73,3/4/2023
57,SPP Biomass,0.22,0.5,3/4/2023
58,SPP Minihydro 2,1.31,3.05,3/4/2023
59,Total,42.93,,3/4/2023
60,Laxapana Hydro Complex,3.14,7.87,3/5/2023
61,Mahaweli Hydro Complex,4.47,11.23,3/5/2023
62,Samanala Hydro Complex,0.54,1.34,3/5/2023
63,CEB Thermal Coal,19.5,48.92,3/5/2023
64,CEB Thermal Oil,7.18,18.02,3/5/2023
65,IPP Thermal Oil,0.0,0.0,3/5/2023
66,CEB Wind,0.91,2.29,3/5/2023
67,SPP Wind,0.56,1.42,3/5/2023
68,SPP Solar 1,2.02,5.07,3/5/2023
69,SPP Biomass,0.22,0.55,3/5/2023
70,SPP Minihydro 2,1.31,3.29,3/5/2023
71,Total,39.85,,3/5/2023
72,Laxapana Hydro Complex,3.54,10.06,3/7/2023
73,Mahaweli Hydro Complex,3.47,9.86,3/7/2023
74,Samanala Hydro Complex,0.18,0.51,3/7/2023
75,CEB Thermal Coal,18.73,53.24,3/7/2023
76,CEB Thermal Oil,4.27,12.13,3/7/2023
77,IPP Thermal Oil,0.0,0.0,3/7/2023
78,CEB Wind,0.7,1.99,3/7/2023
79,SPP Wind,0.51,1.46,3/7/2023
80,SPP Solar 1,2.11,5.99,3/7/2023
81,SPP Biomass,0.37,1.05,3/7/2023
82,SPP Minihydro 2,1.31,3.72,3/7/2023
83,Total,35.19,,3/7/2023
84,Laxapana Hydro Complex,3.85,9.13,3/8/2023
85,Mahaweli Hydro Complex,4.16,9.86,3/8/2023
86,Samanala Hydro Complex,0.65,1.55,3/8/2023
87,CEB Thermal Coal,19.14,45.41,3/8/2023
88,CEB Thermal Oil,6.7,15.89,3/8/2023
89,IPP Thermal Oil,2.6,6.17,3/8/2023
90,CEB Wind,0.86,2.04,3/8/2023
91,SPP Wind,0.52,1.24,3/8/2023
92,SPP Solar 1,2.02,4.8,3/8/2023
93,SPP Biomass,0.33,0.79,3/8/2023
94,SPP Minihydro 2,1.31,3.11,3/8/2023
95,Total,42.16,,3/8/2023
96,Laxapana Hydro Complex,2.96,6.73,3/9/2023
97,Mahaweli Hydro Complex,4.33,9.86,3/9/2023
98,Samanala Hydro Complex,0.98,2.24,3/9/2023
99,CEB Thermal Coal,19.52,44.44,3/9/2023
100,CEB Thermal Oil,7.0,15.93,3/9/2023
101,IPP Thermal Oil,3.51,7.99,3/9/2023
102,CEB Wind,1.09,2.48,3/9/2023
103,SPP Wind,0.79,1.79,3/9/2023
104,SPP Solar 1,2.15,4.9,3/9/2023
105,SPP Biomass,0.29,0.65,3/9/2023
106,SPP Minihydro 2,1.31,2.98,3/9/2023
107,Total,43.92,,3/9/2023
108,Laxapana Hydro Complex,3.78,8.41,3/10/2023
109,Mahaweli Hydro Complex,3.76,8.37,3/10/2023
110,Samanala Hydro Complex,1.13,2.52,3/10/2023
111,CEB Thermal Coal,19.57,43.5,3/10/2023
112,CEB Thermal Oil,7.37,16.39,3/10/2023
113,IPP Thermal Oil,3.54,7.86,3/10/2023
114,CEB Wind,1.16,2.58,3/10/2023
115,SPP Wind,0.94,2.09,3/10/2023
116,SPP Solar 1,2.1,4.67,3/10/2023
117,SPP Biomass,0.32,0.71,3/10/2023
118,SPP Minihydro 2,1.31,2.91,3/10/2023
119,Total,44.98,,3/10/2023
120,Laxapana Hydro Complex,4.09,8.97,3/11/2023
121,Mahaweli Hydro Complex,4.16,9.1,3/11/2023
122,Samanala Hydro Complex,1.1,2.41,3/11/2023
123,CEB Thermal Coal,19.53,42.78,3/11/2023
124,CEB Thermal Oil,7.72,16.9,3/11/2023
125,IPP Thermal Oil,4.08,8.94,3/11/2023
126,CEB Wind,0.82,1.8,3/11/2023
127,SPP Wind,0.57,1.25,3/11/2023
128,SPP Solar 1,1.96,4.29,3/11/2023
129,SPP Biomass,0.32,0.69,3/11/2023
130,SPP Minihydro 2,1.31,2.87,3/11/2023
131,Total,45.66,,3/11/2023
132,Laxapana Hydro Complex,3.55,8.38,3/14/2023
133,Mahaweli Hydro Complex,4.91,11.57,3/14/2023
134,Samanala Hydro Complex,0.54,1.28,3/14/2023
135,CEB Thermal Coal,19.14,45.17,3/14/2023
136,CEB Thermal Oil,5.0,11.8,3/14/2023
137,IPP Thermal Oil,4.38,10.33,3/14/2023
138,CEB Wind,0.69,1.63,3/14/2023
139,SPP Wind,0.55,1.3,3/14/2023
140,SPP Solar 1,2.09,4.93,3/14/2023
141,SPP Biomass,0.22,0.51,3/14/2023
142,SPP Minihydro 2,1.31,3.09,3/14/2023
143,Total,42.39,,3/14/2023
144,Laxapana Hydro Complex,3.78,8.61,3/15/2023
145,Mahaweli Hydro Complex,5.78,13.14,3/15/2023
146,Samanala Hydro Complex,0.64,1.46,3/15/2023
147,CEB Thermal Coal,19.35,44.03,3/15/2023
148,CEB Thermal Oil,3.56,8.09,3/15/2023
149,IPP Thermal Oil,6.47,14.71,3/15/2023
150,CEB Wind,0.35,0.8,3/15/2023
151,SPP Wind,0.31,0.71,3/15/2023
152,SPP Solar 1,2.04,4.64,3/15/2023
153,SPP Biomass,0.36,0.83,3/15/2023
154,SPP Minihydro 2,1.31,2.98,3/15/2023
155,Total,43.96,,3/15/2023
156,Laxapana Hydro Complex,3.78,8.61,3/15/2023
157,Mahaweli Hydro Complex,5.78,13.14,3/15/2023
158,Samanala Hydro Complex,0.64,1.46,3/15/2023
159,CEB Thermal Coal,19.35,44.03,3/15/2023
160,CEB Thermal Oil,3.56,8.09,3/15/2023
161,IPP Thermal Oil,6.47,14.71,3/15/2023
162,CEB Wind,0.35,0.8,3/15/2023
163,SPP Wind,0.31,0.71,3/15/2023
164,SPP Solar 1,2.04,4.64,3/15/2023
165,SPP Biomass,0.36,0.83,3/15/2023
166,SPP Minihydro 2,1.31,2.98,3/15/2023
167,Total,43.96,,3/15/2023
168,Laxapana Hydro Complex,3.78,8.61,3/15/2023
169,Mahaweli Hydro Complex,5.78,13.14,3/15/2023
170,Samanala Hydro Complex,0.64,1.46,3/15/2023
171,CEB Thermal Coal,19.35,44.03,3/15/2023
172,CEB Thermal Oil,3.56,8.09,3/15/2023
173,IPP Thermal Oil,6.47,14.71,3/15/2023
174,CEB Wind,0.35,0.8,3/15/2023
175,SPP Wind,0.31,0.71,3/15/2023
176,SPP Solar 1,2.04,4.64,3/15/2023
177,SPP Biomass,0.36,0.83,3/15/2023
178,SPP Minihydro 2,1.31,2.98,3/15/2023
179,Total,43.96,,3/15/2023
180,Laxapana Hydro Complex,3.78,8.61,2023-03-15
181,Mahaweli Hydro Complex,5.78,13.14,2023-03-15
182,Samanala Hydro Complex,0.64,1.46,2023-03-15
183,CEB Thermal Coal,19.35,44.03,2023-03-15
184,CEB Thermal Oil,3.56,8.09,2023-03-15
185,IPP Thermal Oil,6.47,14.71,2023-03-15
186,CEB Wind,0.35,0.8,2023-03-15
187,SPP Wind,0.31,0.71,2023-03-15
188,SPP Solar 1,2.04,4.64,2023-03-15
189,SPP Biomass,0.36,0.83,2023-03-15
190,SPP Minihydro 2,1.31,2.98,2023-03-15
191,Total,43.96,,2023-03-15
1,Laxapana Hydro Complex,4.39,10.10,2023-03-17
2,Mahaweli Hydro Complex,4.94,11.35,2023-03-17
3,Samanala Hydro Complex,0.60,1.37,2023-03-17
4,CEB Thermal Coal,19.37,44.54,2023-03-17
5,CEB Thermal Oil,3.65,8.40,2023-03-17
6,IPP Thermal Oil,6.40,14.72,2023-03-17
7,CEB Wind,0.26,0.61,2023-03-17
8,SPP Wind,0.20,0.47,2023-03-17
9,SPP Solar 1,2.03,4.67,2023-03-17
10,SPP Biomass,0.33,0.75,2023-03-17
11,SPP Minihydro 2,1.31,3.01,2023-03-17
12,Total,43.50,,2023-03-17
